,x,y,Redshift,Halo_ID,Halo_SFR,Halo_Volume,Number_of_Subhalos,Mass,Age_Myr,Age_Log(yrs),Z,ccSNRate,IMF,ccSNe,Mean,Std,FWHM
903,4352.365054787258,20246.54123461862,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1126237.6,30.27721595244337,7.4811159384608334,0.025930583,47.64077644026556,imf_chab100,II-other,83.73100351736707,136.3899957918208,321.17389603226644
904,4352.269582005796,20248.187214974965,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1272126.4,56.57488514884213,7.752623680978075,0.02184198,18.12730674823951,imf_chab100,II-other,17.493890384250832,28.20294873227714,66.41286900374641
905,4351.968361679793,20249.483868565036,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,993023.5,55.85856617865659,7.747089783697794,0.023253042,170.19011403145623,imf_chab100,II-other,48.48503432091104,73.18304868776966,172.3329100064359
906,4352.813184780857,20245.62351175807,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,759191.94,136.74737289826578,8.135918991702024,0.025980517,3.318733812053265,imf_chab100,II-other,5.205844476074386,2.3840515697138045,5.614012424749567
907,4350.380109051774,20244.57553145925,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1296015.1,62.89288768048884,7.798601535496726,0.026066516,24.37432439353698,imf_chab100,II-other,12.549131396380904,28.20294873227714,66.41286900374641
909,4351.311523745325,20245.23125924509,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1703298.9,34.259816651744046,7.5347850344219935,0.023633007,201.83215041791613,imf_chab100,II-other,108.62264038943988,136.3899957918208,321.17389603226644
910,4351.49802871376,20248.989482378867,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1475085.1,16.830005786002467,7.226084265282331,0.021836262,209.78060841858775,imf_chab100,II-other,208.67095894191283,164.83346710877703,388.1531524396978
912,4352.505303563124,20245.41628401536,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1315530.1,123.12604377333123,8.090349925155023,0.028014781,3.555788564428559,imf_chab100,II-other,5.257996754806681,2.3840515697138045,5.614012424749567
913,4350.169550863203,20250.75683898451,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1427304.0,28.46462158978591,7.454305414651685,0.02154194,353.8310410523762,imf_chab100,II-other,131.27698585578122,136.3899957918208,321.17389603226644
915,4351.768534927898,20248.39888331216,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1775346.9,48.6820868487543,7.687369186802748,0.019187426,157.7058967630547,imf_chab100,II-other,76.01235267838643,73.18304868776966,172.3329100064359
917,4350.488533567153,20249.966413165905,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1536307.4,49.99953602979667,7.69896597432334,0.015641782,44.40380568299463,imf_chab100,II-other,100.01906437232716,73.18304868776966,172.3329100064359
918,4348.990573027027,20250.99367069046,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1391679.1,29.1901530166645,7.465236371593662,0.0153017035,272.6760529848366,imf_chab100,II-other,198.88288918775135,136.3899957918208,321.17389603226644
919,4350.338293453691,20245.75376919634,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,909613.6,42.684053820705174,7.630265658839546,0.023019303,102.97154781761301,imf_chab100,II-other,70.12708510944091,111.35848071105085,262.22918256257486
920,4351.903603010197,20245.96395733537,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1503598.6,130.98617477847662,8.117225459516286,0.022846725,7.208356132169571,imf_chab100,II-other,5.125503677695692,2.3840515697138045,5.614012424749567
921,4351.555386392544,20245.444407780444,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,889812.8,50.358754172155514,7.702074977534895,0.02717047,189.6005998175928,imf_chab100,II-other,21.961061644079763,73.18304868776966,172.3329100064359
922,4352.277723095689,20244.94558099979,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,860528.56,125.44080929880197,8.098438847260566,0.026661508,5.876585670521322,imf_chab100,II-other,5.223302992985753,2.3840515697138045,5.614012424749567
925,4352.886824639426,20246.177105870724,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1143104.1,153.71045281598538,8.186703401956123,0.028233629,13.784294238634427,imf_chab100,II-other,11.859996606800422,5.686463745668124,13.390598813641073
926,4348.848474003457,20251.243824179863,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1241960.4,124.05215970093896,8.093604329575868,0.019568663,3.174121683147528,imf_chab100,II-other,5.041464239783138,2.3840515697138045,5.614012424749567
927,4349.318436919949,20250.47116073921,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1726365.9,132.48544743500813,8.122168176795322,0.02917736,4.22231592317142,imf_chab100,II-other,5.287801708370384,2.3840515697138045,5.614012424749567
928,4352.084927285065,20246.803229693327,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1202612.8,131.7934982015947,8.119893985638722,0.030409008,8.51221852825805,imf_chab100,II-other,5.319377378881229,2.3840515697138045,5.614012424749567
929,4350.300548400556,20245.47105134737,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1492779.8,50.83768962267632,7.7061858053178,0.021992868,134.8232134330361,imf_chab100,II-other,57.01737256530333,73.18304868776966,172.3329100064359
930,4347.985518474906,20244.152194784863,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1057361.4,157.13215372778012,8.196265063192197,0.028783282,8.96890071616212,imf_chab100,II-other,11.986521469300982,5.686463745668124,13.390598813641073
931,4350.075188230364,20250.592536988508,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1659332.2,47.96303073179509,7.680906617890287,0.017811652,32.13279416917119,imf_chab100,II-other,85.32739101106158,73.18304868776966,172.3329100064359
933,4352.826876613857,20248.092482292584,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,766466.8,42.80420666301499,7.63148645220848,0.023877867,75.23595791489734,imf_chab100,II-other,62.226688067541915,111.35848071105085,262.22918256257486
934,4352.743615467235,20247.41899212879,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,2095231.6,15.857759400843108,7.200241824306193,0.02630307,156.47666734892067,imf_chab100,II-other,140.72749405059523,164.83346710877703,388.1531524396978
936,4350.179172151257,20250.496324107968,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,976338.2,63.60692905171117,7.803504428305804,0.026050635,8.631582904994886,imf_chab100,II-other,12.56771987982296,28.20294873227714,66.41286900374641
937,4352.154866648228,20245.866264256667,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1163994.2,169.1791449775506,8.228346825727845,0.02696045,5.82612945482929,imf_chab100,II-other,11.56692298050602,5.686463745668124,13.390598813641073
938,4352.704020166397,20248.783734834324,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1430244.8,44.48539911631988,7.648217491346631,0.022500984,21.341004686165995,imf_chab100,II-other,74.89659081240546,111.35848071105085,262.22918256257486
939,4352.743615467235,20245.44144738412,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1084934.9,139.0476730455097,8.143163725368817,0.021189796,8.654941711677996,imf_chab100,II-other,5.083025109010594,2.3840515697138045,5.614012424749567
942,4349.4002178684095,20245.60426918196,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1291886.1,35.88704001850785,7.5549376389785,0.021883566,157.9573074766214,imf_chab100,II-other,80.57799294528692,111.35848071105085,262.22918256257486
943,4348.828121278727,20250.466720144723,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1284218.5,55.50045467787168,7.744296541019647,0.025801202,61.38266074174917,imf_chab100,II-other,31.232049399121962,73.18304868776966,172.3329100064359
