id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
97367.0,18.889591,8478218334684154.0,0.010970974513492257,8.211666093529539e-09,4924104353008.1,2476531754.98,1.4955121664955555,2.228014218827464e-15
139943.0,11.559553,7377357499749543.0,0.01805479601918126,1.3641267747395954e-08,11522650124840.906,441067202.49,1.4955121664955555,1.5668961413883547e-15
117968.0,23.161488,9395017484661512.0,0.024331668055748528,1.821359639297831e-08,9869678788113.156,3081550785.37,1.4955121664955555,2.4652948265198965e-15
9192.0,0.50585175,228486707717298.88,0.0008196372107136053,6.223333707179105e-10,370219551081.0067,51213358.89,1.4955121664955555,2.2139220047140698e-15
134719.0,25.081194,2.2261197973633264e+16,0.03796222748949018,2.808651516932395e-08,33693956582116.613,4803088755.16,1.4955121664955555,1.1266776401569589e-15
115779.0,18.565226,7350424888019206.0,0.0318458528265543,2.2699870077464488e-08,12608548325590.084,2206961508.05,1.4955121664955555,2.525735081010121e-15
1.0,48.18594,9236163951998836.0,0.03979829187530753,3.0049583490039964e-08,7628439930192.158,7197339059.42,1.4955121664955555,5.217094483210412e-15
34593.0,0.6723583,174512470418395.06,0.007326436598020778,5.175257550521056e-09,1901597035515.6592,196644040.86,1.4955121664955555,3.852780826424699e-15
92954.0,0.8988548,1183931128139148.2,0.0004121330257441547,2.5322014829652806e-10,542843091134.04944,15825026.7,1.4955121664955555,7.592120678613975e-16
188384.0,35.74856,2.212488980517605e+16,0.047806711723652466,3.571036849567618e-08,29587715668368.984,3879783504.69,1.4955121664955555,1.6157621716894037e-15
120812.0,4.358216,2263443499107368.5,0.004646124067063121,3.4958958395353213e-09,2412968819269.2397,258212898.44,1.4955121664955555,1.925480358453279e-15
136896.0,37.426575,2.370054643895889e+16,0.036706377011601676,2.8501998222012092e-08,23244477833448.52,5169935015.86,1.4955121664955555,1.5791439702199568e-15
211053.0,0.20008889,148168860989808.84,0.005350090017868224,3.793958988862233e-09,3961822888519.6016,342026252.64,1.4955121664955555,1.3504112042392109e-15
89696.0,37.440002,1.4441537622134198e+16,0.049504804252049825,3.722155359457723e-08,19095231166984.62,3914424207.37,1.4955121664955555,2.5925218615652537e-15
57904.0,0.9166256,712507335386984.0,0.0032308339413021354,2.3333797252435406e-09,2511377472541.692,257245450.73,1.4955121664955555,1.2864788255157448e-15
36606.0,1.8991997,1274870351674940.8,0.0007548907862362981,4.860658443534354e-10,506733379394.08997,28587624.1,1.4955121664955555,1.4897198742639262e-15
136044.0,0.12824929,94349064695921.1,0.013949673531581155,1.0485972889116278e-08,10262346485646.266,801484778.14,1.4955121664955555,1.3593064267604177e-15
22358.0,12.194993,2744747427894963.0,0.009014574423913436,6.5093662420428326e-09,2028925310871.7751,897100936.55,1.4955121664955555,4.443029211380933e-15
119591.0,7.6960807,3041809491333299.0,0.012369817324392438,8.783890125260032e-09,4889063564964.436,938304895.95,1.4955121664955555,2.5300995088376232e-15
186587.0,1.4359548,680979424961247.9,0.005324310302210905,3.884816521802426e-09,2524972072877.8022,256777839.37,1.4955121664955555,2.1086610657608564e-15
4.0,0.289505,848039883661158.2,0.0004284783528395916,3.324585396452903e-10,1255131111702.43,14843311.14,1.4955121664955555,3.413813496013287e-16
176476.0,10.973423,1.4833572442150522e+16,0.005016572145436741,3.7313371462918754e-09,6781264727570.455,1825261423.81,1.4955121664955555,7.3976940098518235e-16
174081.0,17.402136,7460048115012708.0,0.01568924217648596,1.169657113890355e-08,6725754902999.952,2001665414.34,1.4955121664955555,2.332710959997656e-15
76833.0,19.419975,8127159987249280.0,0.022580864382656655,1.7283931570451804e-08,9449975990609.133,2907407121.24,1.4955121664955555,2.3895155294676177e-15
119470.0,38.861725,3.242057303978377e+16,0.040599263973196104,3.083275577850765e-08,33870122929552.562,8241515862.64,1.4955121664955555,1.1986748337949547e-15
133459.0,0.37507084,236554130523573.34,0.0010377373951648721,8.852890565931994e-10,654492541262.403,50502606.64,1.4955121664955555,1.585560307781745e-15
129530.0,22.512247,4.327008572475043e+16,0.028286821550261878,2.1519006280381317e-08,54369214826069.98,2816119063.01,1.4955121664955555,5.202727617228413e-16
71527.0,25.024347,3.9002598456700424e+16,0.008558826303674936,6.7499247732718175e-09,13339667388039.299,6575540182.08,1.4955121664955555,6.416071746548199e-16
79467.0,5.750484,2675215393597885.5,0.0029347281832735024,2.1495422889536915e-09,1365281602717.0635,268693469.44,1.4955121664955555,2.1495405617662056e-15
58379.0,1.9844317,1083639666543928.9,0.0031416000621980176,2.4450187968804462e-09,1715535205275.468,265963691.63,1.4955121664955555,1.831265282424538e-15
