,id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
20,60314.0,27.452473,2.1164460643225996e+16,0.1094220965565845,8.717453636699092e-08,84358872006580.5,2878191895.18,2.8957850057274284,1.2971024144093452e-15
21,45708.0,39.900208,1.5349000564827746e+16,0.14205763713681607,1.1262286840517433e-07,54647403157674.89,6536476503.72,2.8957850057274284,2.5995313396125202e-15
22,89684.0,14.817619,2.2172513824765904e+16,0.0506509719678076,4.016827801210867e-08,75792161763239.03,2545459191.33,2.8957850057274284,6.682877330512363e-16
23,75107.0,44.621,4.303238158164045e+16,0.1372880438511579,1.117711504556481e-07,132400248528719.95,3594997866.7,2.8957850057274284,1.0369168138032437e-15
24,2352.0,17.2348,1.6652269054647922e+16,0.03703124401187389,2.870761342929525e-08,35779599340522.88,851305148.57,2.8957850057274284,1.0349820762227886e-15
25,27004.0,52.790096,4.729247524164189e+16,0.18866950411871838,1.4798335900785288e-07,169021246947293.7,15940409601.14,2.8957850057274284,1.1162472619643592e-15
26,61188.0,45.592594,7.1757867185000296e+16,0.17179703456874484,1.374261142638953e-07,270390160063296.66,7604116261.1,2.8957850057274284,6.353671839556892e-16
27,96844.0,15.2885,2.379697500235591e+16,0.047655393987650854,3.8452130432454465e-08,74176944726529.72,1943426262.36,2.8957850057274284,6.424556061636587e-16
28,48852.0,35.729794,1.918781376316499e+16,0.13386801819195884,1.0938421318153881e-07,71890551675480.97,5561220124.65,2.8957850057274284,1.862108650887095e-15
29,68664.0,27.157133,3.64852899202057e+16,0.06808008499131242,5.383173825246713e-08,91464796328105.69,4357255387.42,2.8957850057274284,7.443310183198045e-16
30,106489.0,20.466103,3.7798501109946424e+16,0.05152721075469039,4.1188127647823426e-08,95164738147932.12,1852868118.2,2.8957850057274284,5.414527666181578e-16
31,43187.0,30.842329,1.3056236505553204e+16,0.15771473748514434,1.2261956484712972e-07,66764118657098.875,9233131015.74,2.8957850057274284,2.3622679465772426e-15
32,68835.0,51.178978,7.088012512598681e+16,0.20626253699252675,1.722774977345709e-07,285662492729608.2,7171494834.25,2.8957850057274284,7.220497693680881e-16
33,32688.0,15.971391,1.6275817159447136e+16,0.09622353307801054,7.607580122986266e-08,98057622583638.02,3930726623.62,2.8957850057274284,9.812957987629866e-16
34,35656.0,57.024952,5.93321433829444e+16,0.24728335122315293,1.94085183485476e-07,257288270071443.62,8886510677.4,2.8957850057274284,9.61113972100195e-16
35,58077.0,25.93423,3.5840638570969296e+16,0.07336676883204785,5.9232682202235095e-08,101391552586264.64,3266920133.85,2.8957850057274284,7.235984355760495e-16
36,24410.0,136.5774,9.409271389463462e+16,0.31702723125459364,2.674611079749512e-07,218410605028699.1,17572167678.21,2.8957850057274284,1.4515194040735173e-15
37,66104.0,16.471329,1.6954497832810994e+16,0.033232138332687074,2.5462846860153986e-08,34206967594492.11,1135805538.22,2.8957850057274284,9.715020263309747e-16
38,39297.0,43.640766,3.1071177890260784e+16,0.12080419492709409,1.0042710297243612e-07,86009687145946.97,4884023143.47,2.8957850057274284,1.4045417317017497e-15
39,40024.0,23.95767,1.8819008546741204e+16,0.11059649480462573,8.877429250002446e-08,86874741198450.06,3188808632.55,2.8957850057274284,1.2730569700574705e-15
40,38226.0,29.41115,2.0821209595101004e+16,0.11431766496291787,8.88733898964305e-08,80929581557179.75,5603497788.03,2.8957850057274284,1.4125572227523281e-15
41,35762.0,67.88899,4.8859293827002536e+16,0.26362692749575023,2.1447065356212982e-07,189730698766099.66,17165150299.91,2.8957850057274284,1.3894795581855205e-15
42,67232.0,11.37556,7836348654868129.0,0.025383267223688066,1.8818777823618637e-08,17485919986752.85,1036324050.48,2.8957850057274284,1.4516403622410582e-15
43,50853.0,36.155186,6.18747120072073e+16,0.1264052498513638,1.0088469702352346e-07,216325492856051.66,6116780398.44,2.8957850057274284,5.843289581014707e-16
44,104965.0,14.876874,2.1306501205490852e+16,0.053977531796378694,4.204010568937129e-08,77306048722934.89,2169427370.36,2.8957850057274284,6.982316738219842e-16
45,16792.0,42.62575,1.292476490786466e+16,0.1423011651791078,1.1387165930013719e-07,43147841529009.695,4687846281.53,2.8957850057274284,3.2979903544754167e-15
46,56659.0,13.45616,1.2088302508362e+16,0.06375776653744138,5.058159628001481e-08,57276605596404.27,3370238982.74,2.8957850057274284,1.1131554650201544e-15
47,25094.0,23.92001,1.0676399997313908e+16,0.1122199020946525,8.875468285582642e-08,50087962439058.97,4370485104.33,2.8957850057274284,2.2404565214883363e-15
48,47905.0,30.38066,2.530699100632937e+16,0.11610271024261036,8.992640834601213e-08,96713180158699.81,9111682531.17,2.8957850057274284,1.2004848775740145e-15
49,25227.0,60.445667,3.3700980712701096e+16,0.20037041113028414,1.65256610737653e-07,111714862223254.06,10546492409.75,2.8957850057274284,1.7935877746495214e-15
50,56617.0,66.13465,6.225526697787892e+16,0.1784925849532719,1.4548042895042747e-07,168022413815415.6,11445344803.77,2.8957850057274284,1.0623141335736225e-15
51,95056.0,24.223263,2.6354181330507852e+16,0.08157190604751437,6.45271045915165e-08,88747779498218.05,2780106849.25,2.8957850057274284,9.19143064860031e-16
52,30287.0,29.006044,1.8491237818628776e+16,0.0860741405111695,7.048782207188769e-08,54871922631921.3,3312676795.59,2.8957850057274284,1.568637226155742e-15
53,139086.0,6.040882,1.4867385020995584e+16,0.018062063171674466,1.4021570645459082e-08,44453052955980.43,362541377.45,2.8957850057274284,4.0631772106992064e-16
54,111513.0,1.3788731,3221212248485977.5,0.0014991739396538598,1.0755159406322778e-09,3502249378150.89,49131810.85,2.8957850057274284,4.280603057585209e-16
55,37973.0,25.551237,1.2144337132886394e+16,0.12492972991916403,9.719131247059543e-08,59378289906620.64,5818030444.19,2.8957850057274284,2.1039630834035595e-15
56,38924.0,22.161821,2.6604631025132404e+16,0.07997650952934429,6.279899824922937e-08,96009507824568.67,5024197722.33,2.8957850057274284,8.330061401364505e-16
57,59559.0,47.914616,2.8595849606512316e+16,0.15426576801325753,1.27213545737052e-07,92067120010733.89,6030091380.55,2.8957850057274284,1.6755793815997725e-15
58,72414.0,9.984797,1.4002000196610174e+16,0.06165910679846417,4.834443315979331e-08,86466537628647.12,3237630851.66,2.8957850057274284,7.1309790457061115e-16
59,50702.0,18.643717,1.9948740800146532e+16,0.1278915454379839,9.873189792998004e-08,136843703992744.77,4347872752.55,2.8957850057274284,9.345811440821896e-16
60,44089.0,20.931713,9816215840944930.0,0.05958593585243996,4.6098513196814824e-08,27943647393419.24,3011647449.56,2.8957850057274284,2.1323607120261802e-15
