start
end
         79616896 function calls (79561187 primitive calls) in 53.050 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   353822    0.066    0.000    0.066    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     3020    0.066    0.000    0.066    0.000 {method 'rechunk' of 'builtins.PyDataFrame' objects}
   535804    0.065    0.000    0.065    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.061    0.015 _base.py:1(<module>)
   241082    0.061    0.000    0.061    0.000 {built-in method numpy.zeros}
   235032    0.060    0.000    0.060    0.000 _continuous_distns.py:10282(_argcheck)
     1264    0.006    0.000    0.059    0.000 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.059    0.059 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.058    0.058 distance.py:1(<module>)
   353822    0.058    0.000    0.058    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
   235054    0.058    0.000    0.058    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.057    0.006 __init__.py:704(__getattr__)
   353825    0.057    0.000    0.057    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     1363    0.003    0.000    0.056    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.055    0.055 _sputils.py:1(<module>)
   353822    0.055    0.000    0.055    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        3    0.000    0.000    0.055    0.018 _util.py:1(<module>)
        1    0.000    0.000    0.054    0.054 _array_api.py:1(<module>)
     1132    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
   362421    0.054    0.000    0.054    0.000 {method 'rpartition' of 'str' objects}
   274701    0.053    0.000    0.053    0.000 {built-in method _abc._abc_instancecheck}
   713776    0.052    0.000    0.052    0.000 {method 'values' of 'dict' objects}
   471641    0.052    0.000    0.052    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.051    0.051 _mgc.py:1(<module>)
   243113    0.051    0.000    0.051    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.050    0.012 generic.py:3795(to_csv)
        4    0.000    0.000    0.049    0.012 format.py:976(to_csv)
   235032    0.049    0.000    0.049    0.000 {get_index_type}
     1358    0.000    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
     1358    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        4    0.000    0.000    0.049    0.012 csvs.py:246(save)
     6040    0.004    0.000    0.047    0.000 frame.py:5016(select)
   235032    0.046    0.000    0.046    0.000 {method 'dtype' of 'builtins.PySeries' objects}
   530706    0.046    0.000    0.046    0.000 _array_api_override.py:69(array_namespace)
        1    0.000    0.000    0.045    0.045 lazy.py:1(<module>)
     3024    0.003    0.000    0.045    0.000 std.py:1160(__iter__)
        4    0.000    0.000    0.045    0.011 csvs.py:274(_save)
        4    0.000    0.000    0.045    0.011 csvs.py:307(_save_body)
    13806    0.016    0.000    0.044    0.000 _docscrape.py:67(read_to_condition)
        4    0.015    0.004    0.044    0.011 csvs.py:317(_save_chunk)
   530700    0.044    0.000    0.044    0.000 _at.py:206(__init__)
     1796    0.005    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
      250    0.001    0.000    0.042    0.000 std.py:1198(update)
   238052    0.042    0.000    0.042    0.000 {method 'len' of 'builtins.PySeries' objects}
     1155    0.021    0.000    0.041    0.000 inspect.py:882(cleandoc)
      254    0.001    0.000    0.041    0.000 std.py:1325(refresh)
     3020    0.003    0.000    0.041    0.000 frame.py:6494(with_columns)
