_idx,x,y,mtl,age_sfs,mass_solar,id,initial_mass_solar,age_Myr,age_bin,halo_id,halo_SFR,redshift,halo_volume,number_of_subhalos,RandomRate
2388,16206.315187578404,4082.490885264036,0.0167805,0.25408316,800918.44,109311745630,946575.1,33.47585493062688,7.524731677152679,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0001191091819232573
2389,16206.571261860461,4082.3865312936023,0.02038232,0.25240043,989243.25,108570665978,1201398.2,55.022627010480996,7.7405413215847405,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00004196549305974506
2390,16206.816974755382,4081.936181002759,0.05305867,0.24861698,1310452.9,109374942320,1677627.9,103.2326094695768,8.013816905388781,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2391,16206.498732150514,4082.481263975982,0.044439852,0.24709849,1060930.2,109307740885,1367598.6,122.48908710976103,8.088097397932147,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2392,16206.762207423382,4082.1863344921676,0.061105262,0.24437858,1196906.0,109198983300,1571988.0,156.8472781601957,8.195476986595994,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2393,16206.525375717432,4082.1352676555725,0.03896463,0.25184977,768933.7,108982345716,948613.25,62.059670226744856,7.792809463496205,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,6.189825345435068e-6
2394,16206.365514315918,4082.4820040750633,0.064872,0.24660048,1271457.1,109293428308,1649330.0,128.79301407275844,8.109892306875242,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2395,16206.805133170084,4082.6074508693077,0.03994729,0.24910985,1174040.6,109405672343,1489532.2,96.9706809705575,7.986640445426768,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,7.910221638730472e-7
2396,16206.901346050627,4082.1441488445453,0.022145795,0.251971,1412588.0,109413475722,1725034.8,60.5109732513327,7.781834138129653,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2397,16206.235256877646,4082.4860746200093,0.036483977,0.2511004,1579135.5,109447537688,1962899.1,71.6250977176034,7.855065227480675,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000028343785871326676
2398,16206.546098491703,4082.386901343143,0.05826739,0.24861008,1002132.25,109356691481,1283260.2,103.32018819819223,8.014185188571371,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2399,16206.596425229218,4081.768178511352,0.06329506,0.24822156,1429889.2,109372306318,1836115.0,108.25201959577902,8.034436007483793,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2400,16206.36699451408,4082.515678583253,0.050460506,0.24447359,1270948.0,109196421011,1667591.8,155.65002241449034,8.19214918755942,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2401,16206.352192532459,4082.4327874861706,0.054319017,0.24896696,1121681.8,109405672342,1432633.5,98.78672904370367,7.994698605617945,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2402,16207.163341125333,4082.1537701325997,0.040620692,0.25061288,1204296.5,109272585834,1508179.9,77.84095894700638,7.891208177502176,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,1.9043815689056364e-6
2403,16206.452846007485,4082.625213247254,0.014105187,0.25503963,1394546.1,109581924409,1605152.2,21.200095105391892,7.326337809214329,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00016177183202729253
2404,16206.667474741002,4081.761517619622,0.03230939,0.24739595,863780.6,108908513252,1105274.6,118.72093707328935,8.074527315867504,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,1.7586672029051068e-6
2405,16206.651192561218,4082.6770201829304,0.037179727,0.24729066,597282.0,108783444854,766444.7,120.05518412207738,8.07938091813733,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,8.326153532699963e-7
2406,16206.346271739809,4081.9746661549757,0.057040744,0.24327742,824910.06,109181593515,1088598.8,170.7085136062614,8.232255180868805,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2407,16206.864341096572,4082.2237094957627,0.031371623,0.25121662,1196623.0,108328837249,1481325.1,70.1421878563746,7.845979308154148,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000011054734378277363
2408,16206.987197544033,4081.9953889292465,0.057860345,0.24882875,1104433.6,109398060107,1412146.1,100.54246720423832,8.002349538143296,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2409,16206.837697529652,4082.076429778626,0.05338717,0.24914674,1266034.4,109413449115,1614932.9,96.5019727059051,7.984536191338945,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2410,16206.634910381434,4082.73770830758,0.057185322,0.24781759,993878.44,109204930532,1279229.8,113.37630240048968,8.05452228901719,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2411,16206.671915335488,4082.2148283067895,0.050586607,0.25039032,1202381.4,109434502130,1517203.6,80.67685995150553,7.906748986562637,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.00001156010838399238
2412,16206.512053933973,4082.3443456459804,0.022139855,0.25024205,1019922.7,109323674059,1269427.4,82.56549292397742,7.916798578023667,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000010818056827087219
2413,16206.877662880031,4081.9887280375165,0.044455305,0.24105869,1230764.4,108547823933,1632956.5,198.55034638347612,8.297870649054403,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,6.627001166367452e-8
2414,16206.732603460137,4082.2296302884115,0.04452228,0.24908449,1034001.1,109408527713,1315351.8,97.29296029192636,7.98808141768896,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2415,16206.80809356641,4082.472382787009,0.060021464,0.24788411,1323027.9,109292667637,1702363.9,112.53308872706258,8.05128023923571,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2416,16206.547578689866,4082.368398866116,0.044226293,0.242105,1406088.9,109060166106,1858045.5,185.43506920015406,8.26819187069224,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,2.574037667298835e-7
2417,16206.467647989108,4082.6030102748214,0.052658133,0.25017723,1038013.56,109279872846,1312746.2,83.39087284566693,7.921118519586445,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,8.228463341209088e-6
2418,16206.735563856462,4081.9154582284887,0.057074107,0.24919747,1423733.6,109366952132,1815728.8,95.85693880059765,7.981623555646418,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2419,16206.825855944355,4082.1219458721125,0.020768035,0.24918824,1179190.0,108718580260,1480420.0,95.9743785104541,7.982155308490883,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,2.0411966022975994e-8
2420,16206.782930197653,4082.187074591249,0.06203628,0.24442835,1164221.4,109183978850,1528714.0,156.22025241283754,8.193737335181424,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2421,16206.411400458945,4082.6714694398224,0.073513865,0.24561201,866445.1,109282409955,1130849.2,141.28785634489384,8.150104835953,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2422,16206.609747012677,4082.350266438629,0.052103475,0.24713966,1100490.1,109341365142,1422133.2,121.967637108237,8.086244610266336,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2423,16206.771088612355,4081.913607980786,0.05369214,0.24842839,1198445.0,109362013972,1536206.2,105.62690179767786,8.023774541439895,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2424,16206.218974697862,4082.484594421847,0.043523528,0.251119,1520311.4,109465791064,1896684.0,71.38787605738983,7.853624460957372,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,4.7070706034348155e-6
2425,16206.554979680677,4082.6152219096593,0.056525663,0.24731812,1501098.0,109313061475,1938074.1,119.7071575533446,8.078120118601799,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2426,16206.417321251594,4082.5193790786584,0.032882288,0.24677399,1016776.94,109251758832,1306184.6,126.59716879424732,8.102423993273876,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,1.7283212421619337e-6
2427,16206.81549455722,4082.470532539306,0.061429106,0.24613991,1154739.1,109224016241,1501756.9,134.6174694002227,8.129101422234328,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2428,16206.769608414193,4081.7522663811083,0.05061006,0.24780841,1588774.0,109364363216,2044472.6,113.49289711262189,8.05496868231046,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2429,16206.418801449756,4082.1537701325997,0.04882681,0.24892087,2067513.0,109274805712,2639330.0,99.37211546069148,7.997264535297871,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2430,16206.825855944355,4082.485334520928,0.047037818,0.24871825,1637380.1,109382473218,2091153.4,101.94631299167068,8.008371523627378,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2431,16206.685237118949,4082.334724357926,0.050284844,0.24947898,814561.1,109418850082,1036472.75,92.27744446621512,7.965095558653682,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
