,Unnamed: 0,id,sfr_IIP,sfrd_IIP,snr_IIP,snrs_IIP,snrd_IIP,mass,z,halo_volume,sfr_II-Other,sfrd_II-Other,snr_II-Other,snrs_II-Other,snrd_II-Other,sfr_Ib,sfrd_Ib,snr_Ib,snrs_Ib,snrd_Ib,sfr_Ic,sfrd_Ic,snr_Ic,snrs_Ic,snrd_Ic,sfr_total,sfrd_total,snr_total,snrs_total,snrd_total,sfr_IIP_ratio,snr_IIP_ratio,snrs_IIP_ratio,sfr_II-Other_ratio,snr_II-Other_ratio,snrs_II-Other_ratio,sfr_Ib_ratio,snr_Ib_ratio,snrs_Ib_ratio,sfr_Ic_ratio,snr_Ic_ratio,snrs_Ic_ratio
10,10,325479.0,5.0348964,3999139826804563.0,0.0031523325958733,2.630581919501504e-09,2503848705107.649,96821008.6,0.0095216669679447,1.258994838403297e-15,5.0348964,3999139826804563.0,0.0011471868656066,8.39577494687018e-10,911192667844.1028,5.0348964,3999139826804563.0,0.0014892626254698,1.032930140636409e-09,1182898118437.5186,5.0348964,3999139826804563.0,0.0004007462829252,2.469646808957234e-10,318306533673.7512,20.1395856,1.5996559307218252e+16,0.0061895283698748995,4.750054235720654e-09,4916246025063.021,0.25,0.5093009365973733,0.5538003965763993,0.25,0.18534317916532733,0.1767511386235028,0.25,0.24061003302258074,0.21745649404773545,0.25,0.0647458512147186,0.0519919707523624
11,11,384137.0,1.5922092,2504200758319504.0,1.219603866237563e-05,8.497297859032171e-12,19181731437.56175,3923348.8,0.0095216669679447,6.35815317406295e-16,1.5922092,2504200758319504.0,1.909180414458947e-07,1.55972815621603e-13,300272793.40282923,1.5922092,2504200758319504.0,1.1758010278344484e-06,8.107087847607624e-13,1849280751.2579868,1.5922092,2504200758319504.0,0.0,0.0,0.0,6.3688368,1.0016803033278016e+16,1.3562757731655973e-05,9.463979459414537e-12,21331284982.222565,0.25,0.8992300020157131,0.8978567520641928,0.25,0.014076638779758264,0.016480679854650893,0.25,0.08669335920452857,0.08566256808115628,0.25,0.0,0.0
12,12,288594.0,4.9123235,3632397227843371.0,0.0006900661047463,4.755686439047327e-10,510266517648.8091,20081439.0,0.0095216669679447,1.3523640703020105e-15,4.9123235,3632397227843371.0,0.0004664098495291,2.842636845959126e-10,344884827814.8638,4.9123235,3632397227843371.0,0.0003751565454069,2.0324871976185243e-10,277407950747.4334,4.9123235,3632397227843371.0,0.0007114546110333,4.2697438858462024e-10,526082159868.7265,19.649294,1.4529588911373484e+16,0.0022430871107156,1.390055436847118e-09,1658641456079.8328,0.25,0.30764124204081933,0.34212207031354325,0.25,0.2079321161006109,0.2044980919902525,0.25,0.1672501008162879,0.14621626905963914,0.25,0.3171765410422819,0.30716356863656513
13,13,491336.0,2.5838363,4401100343542501.5,0.0005605759451742,3.628636902558788e-10,954840283375.6418,47059846.0,0.0095216669679447,5.87088704712476e-16,2.5838363,4401100343542501.5,0.0001881315006673,1.0912396122663424e-10,320448169343.5338,2.5838363,4401100343542501.5,0.000871949235107,5.257740731061515e-10,1485208671378.0566,2.5838363,4401100343542501.5,6.0701382648958906e-05,3.8212828971260897e-11,103393886071.5897,10.3353452,1.7604401374170006e+16,0.0016813580635974589,1.0359745535599253e-09,2863891010168.8223,0.25,0.33340664151857297,0.3502631305073741,0.25,0.11189258536921698,0.10533459615552423,0.25,0.5185981820204105,0.5075163972893263,0.25,0.036102591091799516,0.036885876047775434
14,14,468832.0,2.797957,2712771564614987.0,0.0019016730952246,1.60394471418639e-09,1843775546914.726,112986095.73,0.0095216669679447,1.0314016250008514e-15,2.797957,2712771564614987.0,0.0002675686841322,2.1403380721348008e-10,259422399234.686,2.797957,2712771564614987.0,0.0025643779130355,1.780969905581217e-09,2486303929406.2334,2.797957,2712771564614987.0,0.0008733748451007,5.838430507300034e-10,846784437730.5684,11.191828,1.0851086258459948e+16,0.0056069945374929995,4.1827914777110905e-09,5436286313286.214,0.25,0.3391608610474724,0.38346274795991064,0.25,0.04772051806774817,0.05117008781193266,0.25,0.4573533817249063,0.42578500866502683,0.25,0.15576523915987325,0.1395821555631299
15,15,335108.0,1.6898801,2660455464695136.5,0.0001354971829417,1.0020615752034278e-10,213319406985.20093,1352184.2,0.0095216669679447,6.351845097296696e-16,1.6898801,2660455464695136.5,7.017652904622646e-05,5.1898645943523426e-11,110482116568.13412,1.6898801,2660455464695136.5,2.0055151955539775e-05,1.4831671569257927e-11,31573742193.548016,1.6898801,2660455464695136.5,8.204578938580566e-07,6.067648874007377e-13,1291684355.1604216,6.7595204,1.0641821858780546e+16,0.00022654932183732433,1.6754323992052486e-10,356666950102.0435,0.25,0.5980913199951882,0.5980913199952214,0.25,0.30976269748720464,0.3097626974871792,0.25,0.08852444047455833,0.08852444047455105,0.25,0.0036215420430487687,0.003621542043048471
16,16,356154.0,1.2248589,4763356980646775.0,5.872395976540487e-05,4.7360495578523936e-11,228371760763.43292,1239935.5,0.0095216669679447,2.571419494647422e-16,1.2248589,4763356980646775.0,3.1224737741101123e-06,2.5182550012562044e-12,12142996429.05308,1.2248589,4763356980646775.0,9.754031429569056e-07,7.866563566870257e-13,3793247834.463692,1.2248589,4763356980646775.0,0.0,0.0,0.0,4.8994356,1.90534279225871e+16,6.282183668247188e-05,5.066540693646717e-11,244308005026.94968,0.25,0.9347698645332607,0.9347698645332606,0.25,0.049703637126886545,0.04970363712688654,0.25,0.015526498339852835,0.015526498339852833,0.25,0.0,0.0
17,17,375887.0,4.556031,5207065569788997.0,0.0024944722908465,1.987274407855057e-09,2850920193576.335,55232236.99,0.0095216669679447,8.749709291993074e-16,4.556031,5207065569788997.0,0.0024083008512479,1.979082820345006e-09,2752435276280.3516,4.556031,5207065569788997.0,0.0015638789965647,1.285056236351201e-09,1787349664286.3716,4.556031,5207065569788997.0,0.0020794826931541,1.4429743534558884e-09,2376630609953.0405,18.224124,2.0828262279155988e+16,0.0085461348318132,6.694387818007153e-09,9767335744096.1,0.25,0.2918830956844683,0.29685677942193783,0.25,0.28180000651088954,0.2956331294433668,0.25,0.18299254895243652,0.19196023165770942,0.25,0.24332434885220555,0.21554985947698596
18,18,148022.0,1.5814642,3052742169125812.0,0.0011288733535727,8.027023347988775e-10,2179094088917.0935,35944262.95,0.0095216669679447,5.180470909054434e-16,1.5814642,3052742169125812.0,0.0007761144003578,5.213465362671444e-10,1498154152359.771,1.5814642,3052742169125812.0,0.0006931803915965,4.5540354503465734e-10,1338064441950.7412,1.5814642,3052742169125812.0,3.996819925919249e-05,2.5778641308501783e-11,77151672040.73285,6.3258568,1.2210968676503248e+16,0.0026381363447861923,1.805231057409181e-09,5092464355268.338,0.25,0.42790561443259656,0.44465351485304844,0.25,0.2941904052425691,0.28879767724324823,0.25,0.26275381595285924,0.25226884013852513,0.25,0.015150164371975137,0.014279967765178267
19,19,466663.0,1.2697626,1973524624416649.2,1.914433775493309e-07,2.7485188072140004e-13,297550282.0567388,2263773.8,0.0095216669679447,6.433984072407138e-16,1.2697626,1973524624416649.2,0.0002105773437702,1.3436182259554522e-10,327289190337.55023,1.2697626,1973524624416649.2,0.0002711876356115,1.7303506794111702e-10,421492550431.72394,1.2697626,1973524624416649.2,1.2743758763884178e-05,8.131333711291084e-12,19806947950.861763,5.0790504,7894098497666597.0,0.0004947001815231335,3.1580307612867475e-10,768886239002.1927,0.25,0.0003869886947684059,0.0008703268001398789,0.25,0.42566659895262815,0.4254607784149612,0.25,0.5481858421327839,0.5479207804505788,0.25,0.02576057021981959,0.02574811433432001
20,20,295346.0,2.571809,3961717048578555.0,0.0006633409799477,5.017830997488728e-10,1021836874075.7284,36792042.61,0.0095216669679447,6.491652403401076e-16,2.571809,3961717048578555.0,0.0001047166821551,5.6530296677816493e-11,161309749271.69205,2.571809,3961717048578555.0,0.0005057196217138,3.8415150339730737e-10,779030653965.5363,2.571809,3961717048578555.0,1.5039784152387167e-05,1.0810534705853642e-11,23167882717.361137,10.287236,1.584686819431422e+16,0.0012888170679689873,9.532754345298503e-10,1985345160030.3176,0.25,0.5146897852563681,0.5263778773407176,0.25,0.08125022918894165,0.059301115532990625,0.25,0.39239053724726825,0.4029805966695959,0.25,0.01166944830742191,0.0113404104566959
21,21,215442.0,1.3926126,1309006369985713.0,0.0006972324974847,6.765159518313111e-10,655373777724.37,27657317.87,0.0095216669679447,1.0638699947771832e-15,1.3926126,1309006369985713.0,0.0001899516790765,1.9422276026986834e-10,178547830100.58246,1.3926126,1309006369985713.0,0.0003315513358417,3.137402457705841e-10,311646476984.45526,1.3926126,1309006369985713.0,2.335649089951333e-06,2.195829312824737e-12,2195427168.1856303,5.5704504,5236025479942852.0,0.0012210711614928512,1.1866747871845883e-09,1147763511977.5933,0.25,0.5710007077984554,0.5700938109895803,0.25,0.15556151440368945,0.16366974538210766,0.25,0.2715249907600419,0.2643860383306362,0.25,0.0019127870378134444,0.001850405297675861
22,22,330534.0,0.10088526,740250445749432.1,2.1297521333810209e-07,1.328860189685373e-13,1562715867.5817504,1602690.9,0.0095216669679447,1.3628530800527031e-16,0.10088526,740250445749432.1,0.0,0.0,0.0,0.10088526,740250445749432.1,0.0,0.0,0.0,0.10088526,740250445749432.1,0.0,0.0,0.0,0.40354104,2961001782997728.5,2.1297521333810209e-07,1.328860189685373e-13,1562715867.5817504,0.25,1.0,1.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
23,23,465881.0,2.4745393,3559194400431712.5,0.0,0.0,0.0,8432596.5,0.0095216669679447,6.952526391084035e-16,2.4745393,3559194400431712.5,1.1016358383979934e-06,7.275578078536177e-13,1584511552.2477388,2.4745393,3559194400431712.5,0.0,0.0,0.0,2.4745393,3559194400431712.5,0.0,0.0,0.0,9.8981572,1.423677760172685e+16,1.1016358383979934e-06,7.275578078536177e-13,1584511552.2477388,0.25,0.0,0.0,0.25,1.0,1.0,0.25,0.0,0.0,0.25,0.0,0.0
24,24,317234.0,2.3522584,2088254586925063.5,5.009752104542268e-06,3.879419360874117e-12,4447486641.632518,5544367.5,0.0095216669679447,1.1264231931910562e-15,2.3522584,2088254586925063.5,1.8784003741487e-06,1.4705694902803764e-12,1667579632.1517134,2.3522584,2088254586925063.5,8.782294431377657e-07,4.470742527348735e-13,779662074.1178279,2.3522584,2088254586925063.5,0.0,0.0,0.0,9.4090336,8353018347700254.0,7.766381921828733e-06,5.797063103889367e-12,6894728347.90206,0.25,0.6450561091338439,0.6692042662553278,0.25,0.24186299271081907,0.2536749150261521,0.25,0.11308089815533702,0.07712081871852013,0.25,0.0,0.0
